VALUE;SUB_VALUE;SUB_VALUE2;TPLKZ;FLTYP;FLLEVEL;CODE_SEZ_PM;CODE_SIST;CODE_PARTE;TIPO_ELEM
F1;FP;09;Z-RSS;S;5;0000;18;1860;STS
F1;FP;10;Z-RSS;S;5;0000;18;1860;STS
F2;FP;02;Z-RSS;S;5;0000;18;1860;STS
F2;FP;03;Z-RSS;S;5;0000;18;1860;STS
F2;FP;04;Z-RSS;S;5;0000;18;1860;STS
F2;FP;05;Z-RSS;S;5;0000;18;1860;STS
F2;FP;06;Z-RSS;S;5;0000;18;1860;STS
F2;FP;07;Z-RSS;S;5;0000;18;1860;STS
F2;FP;08;Z-RSS;S;5;0000;18;1860;STS
F2;FP;09;Z-RSS;S;5;0000;18;1860;STS
F2;FP;10;Z-RSS;S;5;0000;18;1860;STS
FP;02;;Z-RSS;S;4;0000;18;1860;STS
FP;03;;Z-RSS;S;4;0000;18;1860;STS
FP;04;;Z-RSS;S;4;0000;18;1860;STS
FP;05;;Z-RSS;S;4;0000;18;1860;STS
FP;06;;Z-RSS;S;4;0000;18;1860;STS
FP;07;;Z-RSS;S;4;0000;18;1860;STS
FP;08;;Z-RSS;S;4;0000;18;1860;STS
FP;09;;Z-RSS;S;4;0000;18;1860;STS
FP;10;;Z-RSS;S;4;0000;18;1860;STS
MS;15;P1;Z-RSS;S;6;0000;18;1860;STS
MS;15;P2;Z-RSS;S;6;0000;18;1860;STS
MS;16;P1;Z-RSS;S;6;0000;18;1860;STS
MS;16;P2;Z-RSS;S;6;0000;18;1860;STS
MS;17;P1;Z-RSS;S;6;0000;18;1860;STS
