FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkH-yyyy-Gk-H4x-14;Stallo parallelo e.o traslazione;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-14-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-14-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-15;Stallo trasformatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-15-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-15-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-16;Linee di proprieta' AT;0000;11;1150;LNA;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-18;Contatori energia;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-H4x-19;Protezioni elettriche ;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-H4x-20;Stallo rifasamento;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-20-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-20-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-21;Stallo conversione;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-21-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-21-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-22;Stallo S.A.;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-22-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-22-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-MVx;Sezione smistamento MT;0000;11;1150;ALI;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-10;Sensori di corrente e di tensione (TA/TV);0000;11;1150;ALI;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-10-01;Trasformatore di corrente;0000;11;1150;ALI;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-10-02;Trasformatore di tensione;0000;11;1150;ALI;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-11;Stallo Linea MT;0000;11;1150;ALI;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-11-14;Interuttore ;0000;11;1150;ALI;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MVx-11-16;Sezionatore;0000;11;1150;ALI;FL_MVSECT;FL00000H
